# Pixel_X Pixel_Y Center Sum_C Sum_U Sum_D Sum_L Sum_R Avg0_C Avg0_U Avg0_D Avg0_L Avg0_R
12 8 401 -144 -1584 912 -117 -72 -6 -106 60 -8 -5
13 8 405 -86 -1566 958 -108 -3 -4 -105 63 -8 -1
14 8 410 -24 -1536 1000 -72 46 -1 -103 66 -5 3
15 8 416 45 -1491 1039 -3 72 1 -100 69 -1 4
0 9 421 280 -1344 1176 141 186 11 -90 78 9 12
1 9 423 334 -1314 1210 155 240 13 -88 80 10 16
2 9 426 408 -1272 1256 186 300 16 -85 83 12 20
3 9 431 475 -1245 1305 240 336 19 -83 87 16 22
4 9 435 524 -1236 1348 300 345 20 -83 89 20 23
5 9 430 546 -1254 1382 336 324 21 -84 92 22 21
6 9 426 535 -1305 1405 345 300 21 -87 93 23 20
7 9 420 509 -1371 1423 324 285 20 -92 94 21 19
8 9 414 522 -1398 1454 300 312 20 -94 96 20 20
9 9 413 568 -1392 1496 285 378 22 -93 99 19 25
10 9 421 650 -1350 1550 312 465 26 -90 103 20 31
11 9 428 765 -1275 1615 378 543 30 -85 107 25 36
12 9 434 877 -1203 1679 465 594 35 -81 111 31 39
13 9 439 959 -1161 1733 543 621 38 -78 115 36 41
14 9 437 1012 -1140 1772 594 625 40 -76 118 39 41
15 9 435 1039 -1137 1797 621 627 41 -76 119 41 41
0 10 446 1292 -972 1940 750 792 51 -65 129 50 52
1 10 448 1331 -957 1969 764 831 53 -64 131 50 55
2 10 450 1384 -936 2008 792 870 55 -63 133 52 58
3 10 451 1448 -912 2056 831 906 57 -61 137 55 60
4 10 453 1509 -891 2103 870 942 60 -60 140 58 62
5 10 454 1567 -873 2149 906 975 62 -59 143 60 65
6 10 455 1628 -852 2196 942 1011 65 -57 146 62 67
7 10 456 1683 -837 2241 975 1044 67 -56 149 65 69
8 10 458 1732 -828 2284 1011 1071 69 -56 152 67 71
9 10 458 1778 -822 2326 1044 1092 71 -55 155 69 72
10 10 457 1821 -819 2367 1071 1113 72 -55 157 71 74
11 10 457 1861 -819 2407 1092 1140 74 -55 160 72 76
12 10 457 1904 -816 2448 1113 1170 76 -55 163 74 78
13 10 458 1956 -804 2492 1140 1206 78 -54 166 76 80
14 10 459 2000 -792 2528 1170 1231 80 -53 168 78 82
15 10 461 2036 -780 2556 1206 1245 81 -52 170 80 83
0 11 467 2241 -663 2683 1323 1359 89 -45 178 88 90
1 11 468 2277 -651 2711 1334 1395 91 -44 180 88 93
2 11 470 2321 -639 2747 1359 1428 92 -43 183 90 95
3 11 471 2373 -627 2791 1395 1455 94 -42 186 93 97
4 11 471 2416 -624 2832 1428 1473 96 -42 188 95 98
5 11 471 2447 -633 2869 1455 1485 97 -43 191 97 99
6 11 469 2472 -648 2904 1473 1494 98 -44 193 98 99
7 11 467 2497 -663 2939 1485 1509 99 -45 195 99 100
8 11 466 2528 -672 2976 1494 1536 101 -45 198 99 102
9 11 466 2574 -666 3018 1509 1575 102 -45 201 100 105
10 11 468 2635 -645 3065 1536 1623 105 -43 204 102 108
11 11 471 2705 -615 3115 1575 1671 108 -41 207 105 111
12 11 474 2778 -582 3166 1623 1713 111 -39 211 108 114
13 11 476 2845 -555 3215 1671 1746 113 -37 214 111 116
14 11 477 2895 -537 3253 1713 1765 115 -36 216 114 117
15 11 477 2928 -528 3280 1746 1773 117 -36 218 116 118
0 12 483 3118 -426 3402 1851 1884 124 -29 226 123 125
1 12 484 3151 -417 3429 1862 1917 126 -28 228 124 127
2 12 485 3195 -405 3465 1884 1950 127 -27 231 125 130
3 12 486 3250 -390 3510 1917 1983 130 -26 234 127 132
